Time,pm10 standard,pm25 standard,pm100 standard,temperature,gas,humidity,pressure,altitude
1708732932.0287416,1,1,2,22.8466015625,159511,33.838837438312254,1007.6116577849373,47.0491650636763
1708732933.0412374,1,1,2,22.875703125,160731,33.76102146367556,1007.6140008889321,47.02956879825287
1708732934.0551007,1,1,2,22.90421875,161659,33.68318578874753,1007.6016414343635,47.13293601007195
1708732935.0683622,0,0,1,22.93390625,163070,33.59974916535884,1007.5998110407666,47.14824443329545
1708732936.0818453,0,0,1,22.9628125,164024,33.51054115316777,1007.6069614965538,47.08844201176053
1708732937.0954442,0,0,1,22.9909375,164667,33.432780709499085,1007.611087998774,47.053930406565854
1708732938.107434,1,1,2,23.0184765625,165967,33.33206751244298,1007.6176626118125,46.99894449796518
1708732939.1204238,1,1,2,23.0450390625,167289,33.248514726395626,1007.6226023825849,46.95763156806057
1708732940.1334383,1,1,1,23.06984375,169823,33.17056999391661,1007.6160248889211,47.012641350094725
1708732941.1464946,1,1,1,23.0926953125,171381,33.086759351257726,1007.6216194105067,46.965852474227106
1708732942.1595879,1,1,1,23.114765625,171381,32.99719900664349,1007.6276219928654,46.915651082044796
1708732943.1726925,1,1,2,23.1360546875,172968,32.924770192111396,1007.6323173183499,46.876382839004684
1708732944.1858456,1,1,2,23.1559765625,174404,32.86368062408713,1007.6261482571796,46.92797635208835
1708732945.199078,1,1,2,23.17609375,174585,32.80263038733629,1007.6185877296953,46.991207419942704
1708732946.2121415,1,1,2,23.193671875,176232,32.7585090840201,1007.610213891865,47.06124090623832
1708732947.2252066,1,1,2,23.21203125,176417,32.72017974665887,1007.6065751047508,47.09167356837097
1708732948.2382984,1,1,2,23.229609375,178666,32.68749781615101,1007.6033451049066,47.11868745024307
1708732949.2514296,1,1,2,23.24484375,178856,32.654611021859814,1007.5996293933667,47.149763635248455
1708732950.264455,1,1,2,23.2614453125,180198,32.61614539679786,1007.5999125852903,47.14739516916761
1708732951.2774591,1,1,2,23.27375,180392,32.560186138103695,1007.6015953778953,47.13332120121651
1708732952.2898684,0,1,1,23.28234375,182151,32.52672826064985,1007.6022255518299,47.1280507718761
1708732953.3029795,0,1,1,23.2909375,184753,32.470467935227646,1007.6028554129821,47.12278296114196
1708732954.3159845,0,1,1,23.2950390625,185242,32.41382671665869,1007.5994119470957,47.15158224014747
1708732955.3291209,0,1,1,23.2938671875,186707,32.351039346122185,1007.602602071303,47.124901770679294
1708732956.342206,0,1,1,23.2899609375,190143,32.282341449637336,1007.5960759582282,47.179482715724355
1708732957.3566892,0,1,1,23.28625,189381,32.21938618068263,1007.6036038680072,47.11652330023962
1708732958.3712685,0,1,1,23.28234375,191022,32.162131282759916,1007.6022255518299,47.1280507718761
1708732959.3853889,0,1,1,23.2753125,192805,32.110310479195284,1007.6024899485498,47.12583950344225
1708732960.3996449,0,1,1,23.265546875,195542,32.052582315080116,1007.6050493411983,47.1044341783236
1708732961.4201462,0,1,1,23.255390625,195426,31.98916192938306,1007.6018079420661,47.131543430716896
1708732962.4379833,0,1,1,23.2458203125,197175,31.92582324480685,1007.6064085796892,47.09306628757382
1708732963.4522,0,1,1,23.232734375,197293,31.867882671297806,1007.6085663867368,47.075019653177236
1708732964.4652598,0,0,0,23.2200390625,198596,31.827029013011725,1007.6062286478342,47.09457113364749
1708732965.4783096,0,0,0,23.2059765625,198955,31.791743022113856,1007.5981744122188,47.161932329393096
1708732966.4916692,0,0,0,23.1938671875,199195,31.76231173488738,1007.6071087975388,47.08721007214398
1708732967.5052965,0,0,0,23.1801953125,200402,31.727079133504652,1007.6048529691546,47.106076522433796
1708732968.5195048,0,0,0,23.1675,201379,31.720295492357373,1007.6042281670078,47.111302014039225
1708732969.5332923,0,0,0,23.1559765625,201379,31.71928610209462,1007.5986983392772,47.15755047844941
1708732970.5458558,0,0,0,23.14640625,200767,31.724118906932436,1007.5981472923829,47.162159145516426
1708732971.5590277,0,0,0,23.1378125,202241,31.76874149211481,1007.5940809524136,47.19616794233972
1708732972.572142,0,0,0,23.12765625,203737,31.79621711281003,1007.5856879477363,47.26636311094001
1708732973.5851557,1,1,1,23.119453125,204367,31.835218641622458,1007.5839894225142,47.28056883967864
1708732974.5981903,1,1,1,23.1083203125,205638,31.891003164215963,1007.5842571078438,47.278330034325705
1708732975.6113253,1,1,1,23.0971875,206023,31.91273468152393,1007.5810933062622,47.304790745424285
1708732976.6244292,0,0,0,23.088203125,205255,31.94033684905351,1007.578088308109,47.329923353472985
1708732977.6375675,0,0,0,23.0805859375,206280,31.962383967488435,1007.5705059970103,47.39333905420294
1708732978.650681,0,0,0,23.0723828125,208098,32.00142531892863,1007.5705214619059,47.393209711032625
1708732979.663765,0,0,0,23.063984375,209682,32.023411551818995,1007.5650641247433,47.43885313884553
1708732980.6768527,0,0,0,23.0583203125,210081,32.06837551177663,1007.560745224988,47.474975181094784
1708732981.6898937,0,0,0,23.0536328125,209948,32.085013893628606,1007.5597735059968,47.483102378081725
1708732982.703278,0,0,0,23.0493359375,211020,32.090318770007556,1007.5543084652471,47.528810631177016
1708732983.7165024,0,0,0,23.046015625,212649,32.101394995210775,1007.5607672721422,47.47479078468328
1708732984.7289565,0,0,0,23.04171875,213749,32.11238561599794,1007.5587327710492,47.49180681305456
1708732985.7420735,1,1,1,23.0376171875,214164,32.11202301258024,1007.55359399441,47.53478630389894
1708732986.755194,1,1,1,23.0356640625,214860,32.11185034978422,1007.5417536593579,47.6338166917924
